position,participant_id,requested_title,requested_artist,matched_title,matched_artist,album,apple_url,preview_url,artwork,spotify_search_url,youtube_search_url
14,d456fc2e,Clair de Lune,Debussy,Clair de Lune,Debussy,,,,,https://open.spotify.com/search/Clair%20de%20Lune%20Debussy,https://www.youtube.com/results?search_query=Clair%20de%20Lune%20Debussy
15,a650949a,Not Like Us,Kendrick Lamar,Not Like Us,Kendrick Lamar,,,,,https://open.spotify.com/search/Not%20Like%20Us%20Kendrick%20Lamar,https://www.youtube.com/results?search_query=Not%20Like%20Us%20Kendrick%20Lamar
16,8aeb2212,Lovely Day,Bill Withers,Lovely Day,Bill Withers,,,,,https://open.spotify.com/search/Lovely%20Day%20Bill%20Withers,https://www.youtube.com/results?search_query=Lovely%20Day%20Bill%20Withers
17,9b285599,Tití Me Preguntó,Bad Bunny,Tití Me Preguntó,Bad Bunny,,,,,https://open.spotify.com/search/Tit%C3%AD%20Me%20Pregunt%C3%B3%20Bad%20Bunny,https://www.youtube.com/results?search_query=Tit%C3%AD%20Me%20Pregunt%C3%B3%20Bad%20Bunny
18,02f2864a,Texas Hold 'Em,Beyonce,Texas Hold 'Em,Beyonce,,,,,https://open.spotify.com/search/Texas%20Hold%20%27Em%20Beyonce,https://www.youtube.com/results?search_query=Texas%20Hold%20%27Em%20Beyonce
19,d4222e2b,Not Like Us,Kendrick Lamar,Not Like Us,Kendrick Lamar,,,,,https://open.spotify.com/search/Not%20Like%20Us%20Kendrick%20Lamar,https://www.youtube.com/results?search_query=Not%20Like%20Us%20Kendrick%20Lamar
20,36dc1cad,"Good Luck, Babe!",Chappell Roan,"Good Luck, Babe!",Chappell Roan,,,,,https://open.spotify.com/search/Good%20Luck%2C%20Babe%21%20Chappell%20Roan,https://www.youtube.com/results?search_query=Good%20Luck%2C%20Babe%21%20Chappell%20Roan
21,901d1283,Lovely Day,Bill Withers,Lovely Day,Bill Withers,,,,,https://open.spotify.com/search/Lovely%20Day%20Bill%20Withers,https://www.youtube.com/results?search_query=Lovely%20Day%20Bill%20Withers
22,17d447ba,Texas Hold 'Em,Beyonce,Texas Hold 'Em,Beyonce,,,,,https://open.spotify.com/search/Texas%20Hold%20%27Em%20Beyonce,https://www.youtube.com/results?search_query=Texas%20Hold%20%27Em%20Beyonce
23,6beb90aa,Blinding Lights,The Weeknd,Blinding Lights,The Weeknd,,,,,https://open.spotify.com/search/Blinding%20Lights%20The%20Weeknd,https://www.youtube.com/results?search_query=Blinding%20Lights%20The%20Weeknd
24,86c8708c,Texas Hold 'Em,Beyonce,Texas Hold 'Em,Beyonce,,,,,https://open.spotify.com/search/Texas%20Hold%20%27Em%20Beyonce,https://www.youtube.com/results?search_query=Texas%20Hold%20%27Em%20Beyonce
25,3df83008,Blinding Lights,The Weeknd,Blinding Lights,The Weeknd,,,,,https://open.spotify.com/search/Blinding%20Lights%20The%20Weeknd,https://www.youtube.com/results?search_query=Blinding%20Lights%20The%20Weeknd
26,a3efa40f,Clair de Lune,Debussy,Clair de Lune,Debussy,,,,,https://open.spotify.com/search/Clair%20de%20Lune%20Debussy,https://www.youtube.com/results?search_query=Clair%20de%20Lune%20Debussy
27,94ca44c6,Lovely Day,Bill Withers,Lovely Day,Bill Withers,,,,,https://open.spotify.com/search/Lovely%20Day%20Bill%20Withers,https://www.youtube.com/results?search_query=Lovely%20Day%20Bill%20Withers
28,5c961473,"Good Luck, Babe!",Chappell Roan,"Good Luck, Babe!",Chappell Roan,,,,,https://open.spotify.com/search/Good%20Luck%2C%20Babe%21%20Chappell%20Roan,https://www.youtube.com/results?search_query=Good%20Luck%2C%20Babe%21%20Chappell%20Roan
29,d8c610b5,Fast Car,Tracy Chapman,Fast Car,Tracy Chapman,,,,,https://open.spotify.com/search/Fast%20Car%20Tracy%20Chapman,https://www.youtube.com/results?search_query=Fast%20Car%20Tracy%20Chapman
30,df54c2a6,Texas Hold 'Em,Beyonce,Texas Hold 'Em,Beyonce,,,,,https://open.spotify.com/search/Texas%20Hold%20%27Em%20Beyonce,https://www.youtube.com/results?search_query=Texas%20Hold%20%27Em%20Beyonce
31,713820f3,Clair de Lune,Debussy,Clair de Lune,Debussy,,,,,https://open.spotify.com/search/Clair%20de%20Lune%20Debussy,https://www.youtube.com/results?search_query=Clair%20de%20Lune%20Debussy
32,eae63383,Texas Hold 'Em,Beyonce,Texas Hold 'Em,Beyonce,,,,,https://open.spotify.com/search/Texas%20Hold%20%27Em%20Beyonce,https://www.youtube.com/results?search_query=Texas%20Hold%20%27Em%20Beyonce
33,db4e7b01,"Good Luck, Babe!",Chappell Roan,"Good Luck, Babe!",Chappell Roan,,,,,https://open.spotify.com/search/Good%20Luck%2C%20Babe%21%20Chappell%20Roan,https://www.youtube.com/results?search_query=Good%20Luck%2C%20Babe%21%20Chappell%20Roan
34,fef04e15,Texas Hold 'Em,Beyonce,Texas Hold 'Em,Beyonce,,,,,https://open.spotify.com/search/Texas%20Hold%20%27Em%20Beyonce,https://www.youtube.com/results?search_query=Texas%20Hold%20%27Em%20Beyonce
35,9c56ad0e,Blinding Lights,The Weeknd,Blinding Lights,The Weeknd,,,,,https://open.spotify.com/search/Blinding%20Lights%20The%20Weeknd,https://www.youtube.com/results?search_query=Blinding%20Lights%20The%20Weeknd
36,af465b11,Not Like Us,Kendrick Lamar,Not Like Us,Kendrick Lamar,,,,,https://open.spotify.com/search/Not%20Like%20Us%20Kendrick%20Lamar,https://www.youtube.com/results?search_query=Not%20Like%20Us%20Kendrick%20Lamar
37,15750b2c,Texas Hold 'Em,Beyonce,Texas Hold 'Em,Beyonce,,,,,https://open.spotify.com/search/Texas%20Hold%20%27Em%20Beyonce,https://www.youtube.com/results?search_query=Texas%20Hold%20%27Em%20Beyonce
38,2747fa8b,Fast Car,Tracy Chapman,Fast Car,Tracy Chapman,,,,,https://open.spotify.com/search/Fast%20Car%20Tracy%20Chapman,https://www.youtube.com/results?search_query=Fast%20Car%20Tracy%20Chapman
39,f0cf895e,Lovely Day,Bill Withers,Lovely Day,Bill Withers,,,,,https://open.spotify.com/search/Lovely%20Day%20Bill%20Withers,https://www.youtube.com/results?search_query=Lovely%20Day%20Bill%20Withers
40,bbe020bd,Texas Hold 'Em,Beyonce,Texas Hold 'Em,Beyonce,,,,,https://open.spotify.com/search/Texas%20Hold%20%27Em%20Beyonce,https://www.youtube.com/results?search_query=Texas%20Hold%20%27Em%20Beyonce
41,c5c0bbdd,Not Like Us,Kendrick Lamar,Not Like Us,Kendrick Lamar,,,,,https://open.spotify.com/search/Not%20Like%20Us%20Kendrick%20Lamar,https://www.youtube.com/results?search_query=Not%20Like%20Us%20Kendrick%20Lamar
42,13d84e29,Not Like Us,Kendrick Lamar,Not Like Us,Kendrick Lamar,,,,,https://open.spotify.com/search/Not%20Like%20Us%20Kendrick%20Lamar,https://www.youtube.com/results?search_query=Not%20Like%20Us%20Kendrick%20Lamar
